model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Moirai,Moirai level r=8,level,8,-1,CartPole-v1,2,1.3356668590683858,3.0637664794921875,96w@8192
Moirai,Moirai level r=12,level,12,-1,CartPole-v1,2,1.3358109478534075,3.2646872997283936,96w@8192
Moirai,Moirai level r=16,level,16,-1,CartPole-v1,2,1.3798806751284292,3.2494301795959473,96w@8192
MLP,MLP lag 1,-,0,1,CartPole-v1,2,,0.0030508041381835938,96w@8192
MLP,MLP lag 4,-,0,4,CartPole-v1,2,,0.0027964115142822266,96w@8192
MLP,MLP lag 16,-,0,16,CartPole-v1,2,,0.0027670860290527344,96w@8192
VARX,VARX lag 1,-,0,1,CartPole-v1,2,,0.0011739730834960938,96w@8192
VARX,VARX lag 4,-,0,4,CartPole-v1,2,,0.0008184909820556641,96w@8192
VARX,VARX lag 16,-,0,16,CartPole-v1,2,,0.0008327960968017578,96w@8192
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,CartPole-v1,4,0.8713653088271451,0.47508811950683594,96w@8192
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,CartPole-v1,4,0.6295328864540665,0.5233533382415771,96w@8192
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,CartPole-v1,4,0.5599568785774084,0.4710350036621094,96w@8192
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,CartPole-v1,4,0.5668330639863877,0.5381195545196533,96w@8192
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,CartPole-v1,4,0.5511575077422286,0.5370798110961914,96w@8192
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,CartPole-v1,4,0.4976965590717498,0.6666419506072998,96w@8192
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,CartPole-v1,4,1.0228856235840096,0.6667230129241943,96w@8192
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,CartPole-v1,4,0.7574201710339429,0.47240400314331055,96w@8192
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,CartPole-v1,4,0.7095864765967382,0.4687826633453369,96w@8192
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,CartPole-v1,4,0.7358858273452746,0.4693009853363037,96w@8192
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,CartPole-v1,4,0.8412171287403956,0.5344300270080566,96w@8192
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,CartPole-v1,4,0.7941545421738538,0.53605055809021,96w@8192
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,CartPole-v1,4,0.7960191663506531,0.6623156070709229,96w@8192
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,CartPole-v1,4,0.8462307686932161,0.7112524509429932,96w@8192
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,CartPole-v1,4,1.5337588258066797,1.5096309185028076,96w@8192
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,CartPole-v1,4,1.5152470503403448,1.5102028846740723,96w@8192
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,CartPole-v1,4,0.8329635699321765,1.5093176364898682,96w@8192
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,CartPole-v1,4,0.5095819972057978,1.7949635982513428,96w@8192
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,CartPole-v1,4,0.9603876892606704,1.7936656475067139,96w@8192
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,CartPole-v1,4,0.4953536037016747,2.365186929702759,96w@8192
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,CartPole-v1,4,1.2481737739533862,2.412569046020508,96w@8192
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,CartPole-v1,4,0.8241533194264785,1.5868861675262451,96w@8192
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,CartPole-v1,4,0.8467680864231364,1.5874276161193848,96w@8192
