model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,Acrobot-v1,4,0.5201858533828175,0.8094937801361084,96w@4080
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,Acrobot-v1,4,0.5177949962370065,0.8035318851470947,96w@4080
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,Acrobot-v1,4,0.43207102939320735,0.9847283363342285,96w@4080
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,Acrobot-v1,4,0.448068593032725,0.9833276271820068,96w@4080
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,Acrobot-v1,4,1.3052063648451127,0.7115428447723389,96w@4080
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,Acrobot-v1,4,0.8016093590075312,0.7165176868438721,96w@4080
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,Acrobot-v1,4,0.6954115508135561,0.7112610340118408,96w@4080
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,Acrobot-v1,4,0.47039583939635493,0.8133304119110107,96w@4080
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,Acrobot-v1,4,0.505612018665594,0.8058853149414062,96w@4080
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,Acrobot-v1,4,0.39371914050579426,0.9849531650543213,96w@4080
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,Acrobot-v1,4,0.4196824645090564,1.0797934532165527,96w@4080
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,Acrobot-v1,4,0.7406315712732042,2.2509756088256836,96w@4080
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,Acrobot-v1,4,0.5905196032653839,2.2507078647613525,96w@4080
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,Acrobot-v1,4,0.501480332112091,2.2509849071502686,96w@4080
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,Acrobot-v1,4,0.5667028956321248,2.586308240890503,96w@4080
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,Acrobot-v1,4,0.5392787756590064,2.5350003242492676,96w@4080
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,Acrobot-v1,4,0.554986741321301,3.025749683380127,96w@4080
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,Acrobot-v1,4,0.5281902197195757,3.0240395069122314,96w@4080
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,Acrobot-v1,4,0.8098640935444431,2.137619972229004,96w@4080
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,Acrobot-v1,4,0.608688102238839,2.1396403312683105,96w@4080
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,Acrobot-v1,4,0.5345149628868338,2.135834217071533,96w@4080
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,Acrobot-v1,4,0.5158972781284776,2.5327999591827393,96w@4080
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,Acrobot-v1,4,0.5582529928875186,2.514174222946167,96w@4080
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,Acrobot-v1,4,0.4556166824185521,3.087702751159668,96w@4080
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,Acrobot-v1,4,0.4908366189203195,3.4891724586486816,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=1,diff,1,-1,Acrobot-v1,4,2.174490939781443,2.182713270187378,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=2,diff,2,-1,Acrobot-v1,4,1.193804028626216,2.2426717281341553,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=4,diff,4,-1,Acrobot-v1,4,0.703445580171083,2.215193748474121,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=6,diff,6,-1,Acrobot-v1,4,0.5145788511209292,2.5825417041778564,96w@4080
Chronos-2 L-syn,Chronos-2 L-syn diff r=8,diff,8,-1,Acrobot-v1,4,0.564973868096185,2.582700252532959,96w@4080
