model,series,horizon_h,mae,rmse
seasonal_naive,Building_5:solar_generation,24,38.52989071719153,104.37489830146403
persistence,outdoor_dry_bulb_temperature,6,2.718148403399954,3.5167917892389164
persistence,outdoor_dry_bulb_temperature,12,3.548919540229885,4.245964412604449
persistence,outdoor_dry_bulb_temperature,24,1.2444060773480663,1.7879584950748988
persistence,outdoor_relative_humidity,6,12.500459453250631,16.333142284053103
persistence,outdoor_relative_humidity,12,15.794827586206896,19.688484877755556
persistence,outdoor_relative_humidity,24,10.364986187845304,15.674319033498847
persistence,diffuse_solar_irradiance,6,311.7392602802665,430.8572985526158
persistence,diffuse_solar_irradiance,12,412.98379310344825,506.9684690596543
persistence,diffuse_solar_irradiance,24,43.04488950276243,101.46081263680482
persistence,direct_solar_irradiance,6,290.01596600045946,420.14416385816355
persistence,direct_solar_irradiance,12,398.47080459770115,505.33580914081284
persistence,direct_solar_irradiance,24,103.06319060773481,209.91379857334704
persistence,electricity_pricing,6,0.11948081782678616,0.18659991094090017
persistence,electricity_pricing,12,0.11949885057471266,0.18660191816288754
persistence,electricity_pricing,24,0.0028291896869244936,0.01964170310642156
persistence,Building_1:non_shiftable_load,6,0.9390280175876408,1.348436631277806
persistence,Building_1:non_shiftable_load,12,0.9568744149066668,1.3697521836117357
persistence,Building_1:non_shiftable_load,24,0.6825698838959484,1.082293997866349
persistence,Building_1:solar_generation,6,309.4896994282104,431.6285247843004
persistence,Building_1:solar_generation,12,409.7161344547287,503.7204690391804
persistence,Building_1:solar_generation,24,48.807689361726524,126.36962579046053
persistence,Building_2:non_shiftable_load,6,0.8081279731857895,1.1525629517988591
persistence,Building_2:non_shiftable_load,12,0.8671602750215256,1.2183836142195923
persistence,Building_2:non_shiftable_load,24,0.5786694575926206,0.9118544754728148
persistence,Building_2:solar_generation,6,235.0396413557317,331.86492529400135
persistence,Building_2:solar_generation,12,307.65423045539313,386.94736519736233
persistence,Building_2:solar_generation,24,31.01310278377993,85.1281429643817
