model,variant,presentation,r,lag,env,budget,nmse,seconds,evalset
VARX,VARX lag 4,-,0,4,MountainCar-v0,2,,0.0007970333099365234,96w@8192
VARX,VARX lag 16,-,0,16,MountainCar-v0,2,,0.0007996559143066406,96w@8192
Chronos-2 S,Chronos-2 S diff r=1,diff,1,-1,MountainCar-v0,4,0.06185935296959108,0.30370330810546875,96w@8192
Chronos-2 S,Chronos-2 S diff r=2,diff,2,-1,MountainCar-v0,4,0.06133289991657963,0.309067964553833,96w@8192
Chronos-2 S,Chronos-2 S diff r=4,diff,4,-1,MountainCar-v0,4,0.05870471771212123,0.311551570892334,96w@8192
Chronos-2 S,Chronos-2 S diff r=6,diff,6,-1,MountainCar-v0,4,0.05158211453319016,0.34566521644592285,96w@8192
Chronos-2 S,Chronos-2 S diff r=8,diff,8,-1,MountainCar-v0,4,0.05425158646132562,0.34745192527770996,96w@8192
Chronos-2 S,Chronos-2 S diff r=12,diff,12,-1,MountainCar-v0,4,0.05274217285464927,0.39153242111206055,96w@8192
Chronos-2 S,Chronos-2 S diff r=16,diff,16,-1,MountainCar-v0,4,0.13716551696417775,0.39053797721862793,96w@8192
Chronos-2 S,Chronos-2 S level r=1,level,1,-1,MountainCar-v0,4,1.7188333816558712,0.3110508918762207,96w@8192
Chronos-2 S,Chronos-2 S level r=2,level,2,-1,MountainCar-v0,4,0.985074380339258,0.30939579010009766,96w@8192
Chronos-2 S,Chronos-2 S level r=4,level,4,-1,MountainCar-v0,4,0.6932776058277839,0.3096339702606201,96w@8192
Chronos-2 S,Chronos-2 S level r=6,level,6,-1,MountainCar-v0,4,0.27177783262433775,0.34595227241516113,96w@8192
Chronos-2 S,Chronos-2 S level r=8,level,8,-1,MountainCar-v0,4,0.21592653983847462,0.3458445072174072,96w@8192
Chronos-2 S,Chronos-2 S level r=12,level,12,-1,MountainCar-v0,4,0.21226366583541806,0.3910541534423828,96w@8192
Chronos-2 S,Chronos-2 S level r=16,level,16,-1,MountainCar-v0,4,0.21319187490891392,0.4618642330169678,96w@8192
Chronos-2 L,Chronos-2 L diff r=1,diff,1,-1,MountainCar-v0,4,0.1691131144256155,0.9840383529663086,96w@8192
Chronos-2 L,Chronos-2 L diff r=2,diff,2,-1,MountainCar-v0,4,0.15866610522245098,0.982659101486206,96w@8192
Chronos-2 L,Chronos-2 L diff r=4,diff,4,-1,MountainCar-v0,4,0.11659720246658214,0.9823887348175049,96w@8192
Chronos-2 L,Chronos-2 L diff r=6,diff,6,-1,MountainCar-v0,4,0.07875632079934847,1.1342008113861084,96w@8192
Chronos-2 L,Chronos-2 L diff r=8,diff,8,-1,MountainCar-v0,4,0.12077938787747082,1.1350789070129395,96w@8192
Chronos-2 L,Chronos-2 L diff r=12,diff,12,-1,MountainCar-v0,4,0.06015662642133621,1.309028148651123,96w@8192
Chronos-2 L,Chronos-2 L diff r=16,diff,16,-1,MountainCar-v0,4,0.15515348266633888,1.3102161884307861,96w@8192
Chronos-2 L,Chronos-2 L level r=1,level,1,-1,MountainCar-v0,4,0.3836812256620614,0.9837319850921631,96w@8192
Chronos-2 L,Chronos-2 L level r=2,level,2,-1,MountainCar-v0,4,0.2866397802817359,0.9836227893829346,96w@8192
Chronos-2 L,Chronos-2 L level r=4,level,4,-1,MountainCar-v0,4,0.24537773281864816,0.9832935333251953,96w@8192
Chronos-2 L,Chronos-2 L level r=6,level,6,-1,MountainCar-v0,4,0.2224683147682912,1.135495901107788,96w@8192
Chronos-2 L,Chronos-2 L level r=8,level,8,-1,MountainCar-v0,4,0.2383650700151923,1.139505386352539,96w@8192
Chronos-2 L,Chronos-2 L level r=12,level,12,-1,MountainCar-v0,4,0.22307906810302094,1.3182878494262695,96w@8192
Chronos-2 L,Chronos-2 L level r=16,level,16,-1,MountainCar-v0,4,0.18002953157567708,1.6263134479522705,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=1,diff,1,-1,MountainCar-v0,4,0.04981929182961528,0.9811487197875977,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=2,diff,2,-1,MountainCar-v0,4,0.03812599830404388,0.9823529720306396,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=4,diff,4,-1,MountainCar-v0,4,0.04132343796465465,0.9834024906158447,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=6,diff,6,-1,MountainCar-v0,4,0.03906485185958642,1.1644072532653809,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=8,diff,8,-1,MountainCar-v0,4,0.043799143398112514,1.1373281478881836,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=12,diff,12,-1,MountainCar-v0,4,0.03538167548374794,1.3068678379058838,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn diff r=16,diff,16,-1,MountainCar-v0,4,0.053078621024855194,1.3062691688537598,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=1,level,1,-1,MountainCar-v0,4,3.2682446865788295,0.9793286323547363,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=2,level,2,-1,MountainCar-v0,4,1.4224776863523756,0.979464054107666,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=4,level,4,-1,MountainCar-v0,4,0.4987897439479083,0.9807021617889404,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=6,level,6,-1,MountainCar-v0,4,0.26627910956173995,1.1336581707000732,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=8,level,8,-1,MountainCar-v0,4,0.18815441351447793,1.1399736404418945,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=12,level,12,-1,MountainCar-v0,4,0.1822443494949491,1.3052804470062256,96w@8192
Chronos-2 L-syn,Chronos-2 L-syn level r=16,level,16,-1,MountainCar-v0,4,0.16768533382441053,1.62060546875,96w@8192
Chronos-2 S (level),Chronos-2 S (level) level r=1,level,1,-1,MountainCar-v0,4,1.7188333816558712,0.31005382537841797,96w@8192
Moirai,Moirai diff r=1,diff,1,-1,MountainCar-v0,4,0.31866212976115466,2.1788249015808105,96w@8192
Moirai,Moirai diff r=2,diff,2,-1,MountainCar-v0,4,0.22708449060813007,2.1777150630950928,96w@8192
Moirai,Moirai diff r=4,diff,4,-1,MountainCar-v0,4,0.23321080025570795,2.1786885261535645,96w@8192
Moirai,Moirai diff r=6,diff,6,-1,MountainCar-v0,4,0.2518194499013518,2.3059206008911133,96w@8192
Moirai,Moirai diff r=8,diff,8,-1,MountainCar-v0,4,0.18162086909672537,2.320268392562866,96w@8192
Moirai,Moirai diff r=12,diff,12,-1,MountainCar-v0,4,0.15342916807852272,2.684373378753662,96w@8192
Moirai,Moirai diff r=16,diff,16,-1,MountainCar-v0,4,0.1958733881896488,2.800154209136963,96w@8192
